DATE,TOTAL
12/31/2019,2466
12/28/2019,923
12/27/2019,1557
12/25/2019,753
12/24/2019,2606
12/21/2019,905
12/20/2019,1095
12/19/2019,952
12/18/2019,995
12/17/2019,3043
12/14/2019,940
12/13/2019,1008
12/12/2019,1101
12/11/2019,1071
12/10/2019,2915
12/7/2019,969
12/6/2019,1070
12/5/2019,1058
12/4/2019,1013
12/3/2019,2878
11/30/2019,1666
11/29/2019,1231
11/28/2019,916
11/27/2019,1018
11/26/2019,3057
11/23/2019,1219
11/22/2019,1231
11/21/2019,1371
11/20/2019,1106
11/19/2019,2647
11/16/2019,707
11/15/2019,1231
11/14/2019,916
11/13/2019,2835
11/12/2019,2104
11/9/2019,630
11/8/2019,787
11/7/2019,898
11/6/2019,835
11/5/2019,2104
11/2/2019,753
11/1/2019,725
10/31/2019,796
10/30/2019,800
10/29/2019,2135
10/25/2019,782
10/23/2019,1219
10/22/2019,1231
10/21/2019,1371
10/20/2019,1106
10/19/2019,2647
10/16/2019,707
10/15/2019,1918
10/12/2019,820
10/11/2019,902
10/10/2019,891
10/9/2019,811
10/8/2019,1918
10/5/2019,714
10/4/2019,801
10/3/2019,852
10/2/2019,742
10/1/2019,2189
